religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
Beliefs,College,published,r,FE,-0.12484418289100332,-0.13801011500314994,-0.11167825077885671,4.242462892181942e-77,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,67,0.026331864224293233
Beliefs,College,all_publicationstatus,r,FE,-0.12447034190626474,-0.13746787894803253,-0.11147280486449695,1.3411953037994874e-78,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,68,0.025995074083535574
Beliefs,Pre-College,published,z,unweighted,-0.12185277555398236,-0.19703070541439405,-0.04525023647769167,0.001871735402690423,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,69,0.15178046893670238
Beliefs,Pre-College,published,r,unweighted,-0.12142857142857158,-0.19619094323384756,-0.04666619962329559,0.0014557593646147983,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,70,0.14952474361055196
Beliefs,College,published,z,FE,-0.12133635632961347,-0.13457465600689575,-0.10805475094213018,1.5148968315315204e-70,31,"18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",31,0,71,0.026519905064765564
Beliefs,College,all_publicationstatus,z,FE,-0.1210326598780085,-0.13410049137885496,-0.10792274165739357,5.228839912936071e-72,35,"6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",35,0,72,0.02617774972146139
Beliefs,Pre-College,published,r,FE,-0.11701035531743834,-0.16550048198296424,-0.06852022865191243,2.250270929962677e-06,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,73,0.09698025333105181
Beliefs,Pre-College,published,r,RE_DL,-0.11701035531743834,-0.16550048198296424,-0.06852022865191243,2.250270929962677e-06,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,74,0.09698025333105181
Beliefs,Pre-College,published,r,REML,-0.11701035531743834,-0.16550048198296424,-0.06852022865191243,2.250270929962677e-06,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,75,0.09698025333105181
Behavior,Non-College,published,r,FE,-0.11683790286981102,-0.1255340874099857,-0.10814171832963636,8.001378384969611e-153,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,76,0.017392369080349343
Behavior,Non-College,published,z,FE,-0.11653398559846005,-0.12522732795289893,-0.10782275007186944,4.091526953547722e-149,6,"33,38,56,87,88,94","33,38,56,87,88,94",6,0,77,0.01740457788102949
Beliefs,Pre-College,published,z,FE,-0.11629712930140944,-0.16460703198007245,-0.06743060440823821,3.397466066621973e-06,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,78,0.09717642757183424
Beliefs,Pre-College,published,z,RE_DL,-0.11629712930140944,-0.16460703198007245,-0.06743060440823821,3.397466066621973e-06,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,79,0.09717642757183424
Beliefs,Pre-College,published,z,REML,-0.11629712930140944,-0.16460703198007245,-0.06743060440823821,3.397466066621973e-06,7,"21,45,46,47,59,70,74","21,45,46,47,59,70,74",7,0,80,0.09717642757183424
Beliefs,College,unpublished,r,FE,-0.11013578289087878,-0.19166256931311904,-0.0286089964686385,0.00810305423312112,4,"6,11,14,15","6,11,14,15",4,0,81,0.16305357284448052
Beliefs,College,unpublished,r,RE_DL,-0.11013578289087878,-0.19166256931311904,-0.0286089964686385,0.00810305423312112,4,"6,11,14,15","6,11,14,15",4,0,82,0.16305357284448052
Beliefs,College,unpublished,r,REML,-0.11013578289087878,-0.19166256931311904,-0.0286089964686385,0.00810305423312112,4,"6,11,14,15","6,11,14,15",4,0,83,0.16305357284448052
