"sex","method","age_group","sample","race","published_estimate","effect","ma_method","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"men","image","all_age_group","healthy","all_race","yes","z","FE",0.0088435737378793,-0.0207715410276066,0.0384431828111437,0.558393061183514,13,"6,7,10,11,12,14,15,18,21,25,26,28,30","6,7,10,11,12,14,15,18,21,25,26,28,30",13,0,295,0.0592147238387502
"men","image","all_age_group","healthy","all_race","yes","z","REML",0.00884787705716197,-0.0208353191311447,0.038515488621719,0.559104954612403,13,"6,7,10,11,12,14,15,18,21,25,26,28,30","6,7,10,11,12,14,15,18,21,25,26,28,30",13,0,296,0.0593508077528637
"all_sex","image","adults","healthy","other","yes","z","FE",0.00899191071087379,-0.037949173384628,0.0558933983035684,0.707431452470999,5,"15,16,23,26,27","15,16,23,26,27",5,0,297,0.0938425716881964
"all_sex","image","adults","healthy","other","yes","z","RE_DL",0.00899191071087379,-0.037949173384628,0.0558933983035684,0.707431452470999,5,"15,16,23,26,27","15,16,23,26,27",5,0,298,0.0938425716881964
"all_sex","image","adults","healthy","other","yes","z","REML",0.00899191071087379,-0.037949173384628,0.0558933983035684,0.707431452470999,5,"15,16,23,26,27","15,16,23,26,27",5,0,299,0.0938425716881964
"men","image","all_age_group","healthy","all_race","yes","z","RE_DL",0.00901414060056357,-0.0231031944684478,0.0411128883311826,0.58229931501404,13,"6,7,10,11,12,14,15,18,21,25,26,28,30","6,7,10,11,12,14,15,18,21,25,26,28,30",13,0,300,0.0642160827996304
"all_sex","image","adults","healthy","other","yes","r","FE",0.00903494453268802,-0.0378686718675436,0.0559385609329197,0.705769579116367,5,"15,16,23,26,27","15,16,23,26,27",5,0,301,0.0938072328004633
"all_sex","image","adults","healthy","other","yes","r","RE_DL",0.00903494453268802,-0.0378686718675436,0.0559385609329197,0.705769579116367,5,"15,16,23,26,27","15,16,23,26,27",5,0,302,0.0938072328004633
"all_sex","image","adults","healthy","other","yes","r","REML",0.00903494453268802,-0.0378686718675436,0.0559385609329197,0.705769579116367,5,"15,16,23,26,27","15,16,23,26,27",5,0,303,0.0938072328004633
"men","all_method","adults","healthy","all_race","all_published_estimate","r","REML",0.00919627153313654,-0.0374132091655091,0.0558057522317821,0.698970773676503,13,"1,2,4,6,9,10,11,15,17,18,20,25,26","1,2,4,6,9,10,11,15,17,18,20,25,26",13,0,304,0.0932189613972912
"men","all_method","adults","healthy","all_race","yes","z","RE_DL",0.00941094976131918,-0.0370546639646622,0.0558359579199814,0.691494858737084,11,"1,6,9,10,11,15,17,18,20,25,26","1,6,9,10,11,15,17,18,20,25,26",11,0,305,0.0928906218846436
"men","all_method","all_age_group","healthy","all_race","yes","z","RE_DL",0.00960811973722192,-0.0281447322107589,0.0473336005351949,0.61797309962625,17,"1,6,7,9,10,11,12,14,15,17,18,20,21,25,26,28,30","1,6,7,9,10,11,12,14,15,17,18,20,21,25,26,28,30",17,0,306,0.0754783327459538
"men","image","all_age_group","all_sample","all_race","all_published_estimate","r","FE",0.00969535089425623,-0.0192898621946167,0.0386805639831292,0.512085236506335,16,"2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30",16,0,307,0.0579704261777459
"men","image","all_age_group","all_sample","all_race","all_published_estimate","r","REML",0.00969954164644342,-0.01931978467255,0.0387188679654369,0.512399120935163,16,"2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30",16,0,308,0.0580386526379869
"men","image","all_age_group","healthy","all_race","all_published_estimate","r","FE",0.00979634509191169,-0.0193809375572503,0.0389736277410737,0.510497794997253,15,"2,4,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,6,7,10,11,12,14,15,18,21,25,26,28,30",15,0,309,0.058354565298324
"men","image","all_age_group","healthy","all_race","all_published_estimate","r","REML",0.0097991308752359,-0.0193997925661534,0.0389980543166252,0.510691046796991,15,"2,4,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,6,7,10,11,12,14,15,18,21,25,26,28,30",15,0,310,0.0583978468827787
"all_sex","image","adults","all_sample","all_race","yes","z","FE",0.00985586668643422,-0.0307993235788257,0.0504784994501875,0.634755883929713,11,"6,10,11,15,16,18,22,23,25,26,27","6,10,11,15,16,18,22,23,25,26,27",11,0,311,0.0812778230290132
"all_sex","image","adults","all_sample","all_race","yes","z","RE_DL",0.00985586668643422,-0.0307993235788257,0.0504784994501875,0.634755883929713,11,"6,10,11,15,16,18,22,23,25,26,27","6,10,11,15,16,18,22,23,25,26,27",11,0,312,0.0812778230290132
"all_sex","image","adults","all_sample","all_race","yes","z","REML",0.00985586668643422,-0.0307993235788257,0.0504784994501875,0.634755883929713,11,"6,10,11,15,16,18,22,23,25,26,27","6,10,11,15,16,18,22,23,25,26,27",11,0,313,0.0812778230290132
"all_sex","image","adults","all_sample","all_race","yes","r","FE",0.00991846295652827,-0.030665693172042,0.0505026190850985,0.631938288742365,11,"6,10,11,15,16,18,22,23,25,26,27","6,10,11,15,16,18,22,23,25,26,27",11,0,314,0.0811683122571405
"all_sex","image","adults","all_sample","all_race","yes","r","RE_DL",0.00991846295652827,-0.030665693172042,0.0505026190850985,0.631938288742365,11,"6,10,11,15,16,18,22,23,25,26,27","6,10,11,15,16,18,22,23,25,26,27",11,0,315,0.0811683122571405
"all_sex","image","adults","all_sample","all_race","yes","r","REML",0.00991846295652827,-0.030665693172042,0.0505026190850985,0.631938288742365,11,"6,10,11,15,16,18,22,23,25,26,27","6,10,11,15,16,18,22,23,25,26,27",11,0,316,0.0811683122571405
"men","all_method","adults","all_sample","all_race","yes","z","REML",0.0109377380177595,-0.0361647664066009,0.0579917526687314,0.649118244887844,12,"1,6,9,10,11,15,17,18,19,20,25,26","1,6,9,10,11,15,17,18,19,20,25,26",12,0,317,0.0941565190753323
"men","image","all_age_group","healthy","all_race","yes","r","FE",0.0111038340217534,-0.0184077508508121,0.0406154188943189,0.460852930601663,13,"6,7,10,11,12,14,15,18,21,25,26,28,30","6,7,10,11,12,14,15,18,21,25,26,28,30",13,0,318,0.059023169745131
"men","image","non-adults","healthy","white","yes","z","RE_DL",0.0111167469896525,-0.0689543071086497,0.0910454896134786,0.785813250203598,6,"7,12,14,21,28,30","7,12,14,21,28,30",6,0,319,0.159999796722128
"men","image","all_age_group","healthy","all_race","yes","r","REML",0.0111222134444945,-0.0184758258725227,0.0407202527615117,0.461422730457517,13,"6,7,10,11,12,14,15,18,21,25,26,28,30","6,7,10,11,12,14,15,18,21,25,26,28,30",13,0,320,0.0591960786340344
"all_sex","image","adults","all_sample","all_race","all_published_estimate","r","unweighted",0.0111733333333333,-0.0419601191691772,0.0643067858358439,0.680224261963126,15,"2,3,4,5,6,10,11,15,16,18,22,23,25,26,27","2,3,4,5,6,10,11,15,16,18,22,23,25,26,27",15,0,321,0.106266905005021
"all_sex","image","adults","all_sample","all_race","all_published_estimate","z","unweighted",0.0112060971567435,-0.0420501056892281,0.0643988018353389,0.680167540423687,15,"2,3,4,5,6,10,11,15,16,18,22,23,25,26,27","2,3,4,5,6,10,11,15,16,18,22,23,25,26,27",15,0,322,0.106448907524567
"men","image","all_age_group","all_sample","all_race","all_published_estimate","r","RE_DL",0.0115433060145046,-0.0284207137084403,0.0515073257374494,0.571311643536031,16,"2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,5,6,7,10,11,12,14,15,18,21,25,26,28,30",16,0,323,0.0799280394458897
"men","all_method","all_age_group","all_sample","white","yes","r","RE_DL",0.011736409048416,-0.0388849690156136,0.0623577871124456,0.649532638303212,15,"1,6,7,10,11,12,14,17,18,19,20,21,25,28,30","1,6,7,10,11,12,14,17,18,19,20,21,25,28,30",15,0,324,0.101242756128059
"men","all_method","adults","healthy","all_race","yes","z","REML",0.0118760346517738,-0.0371285837933874,0.0608236719149046,0.634901478066179,11,"1,6,9,10,11,15,17,18,20,25,26","1,6,9,10,11,15,17,18,20,25,26",11,0,325,0.097952255708292
